iteration,bestCost
1284,4.38315e+07
1285,4.38116e+07
1286,4.37971e+07
1287,4.37811e+07
1288,4.37627e+07
1289,4.3745e+07
1290,4.37313e+07
1291,4.37155e+07
1292,4.3701e+07
1293,4.36841e+07
1294,4.3668e+07
1295,4.36519e+07
1296,4.36327e+07
1297,4.36179e+07
1298,4.36013e+07
1299,4.35837e+07
1300,4.3568e+07
1301,4.35502e+07
1302,4.35333e+07
1303,4.3517e+07
1304,4.35014e+07
1305,4.34854e+07
1306,4.34704e+07
1307,4.3452e+07
1308,4.3437e+07
1309,4.34235e+07
1310,4.34077e+07
1311,4.33907e+07
1312,4.33736e+07
1313,4.3355e+07
1314,4.33394e+07
1315,4.3324e+07
1316,4.33076e+07
1317,4.32908e+07
1318,4.32759e+07
1319,4.32623e+07
1320,4.32459e+07
1321,4.32276e+07
1322,4.3209e+07
1323,4.31917e+07
1324,4.31754e+07
1325,4.31601e+07
1326,4.31454e+07
1327,4.31304e+07
1328,4.31148e+07
1329,4.3099e+07
1330,4.30836e+07
1331,4.30669e+07
1332,4.30515e+07
1333,4.30368e+07
1334,4.30172e+07
1335,4.30005e+07
1336,4.29819e+07
1337,4.29672e+07
1338,4.29528e+07
1339,4.29343e+07
1340,4.29187e+07
1341,4.2901e+07
1342,4.28866e+07
1343,4.28718e+07
1344,4.28548e+07
1345,4.28395e+07
1346,4.28236e+07
1347,4.28084e+07
1348,4.27923e+07
1349,4.27762e+07
1350,4.27613e+07
1351,4.27463e+07
1352,4.27321e+07
1353,4.27172e+07
1354,4.27006e+07
1355,4.26811e+07
1356,4.26655e+07
1357,4.26489e+07
1358,4.26326e+07
1359,4.2615e+07
